GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver.__CLR4_4_16dw6dwkylve08b,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor.__CLR4_4_16bp6bpkylve069.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor.__CLR4_4_16bx6bxkylve06h,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor.__CLR4_4_16bp6bpkylve069,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,47,522,39,59,3,71,37,26,0,14
Apache Commons IO,org.apache.commons.io.monitor,FileEntry.__CLR4_4_16in6inkylve08v.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,54,0,0,0,17,0,10,0,10
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,222,1253,120,142,12,131,107,48,3,21
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor.__CLR4_4_16bx6bxkylve06h.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,207,295,39,25,33,42,38,14,10,10
Apache Commons IO,org.apache.commons.io.monitor,FileEntry.__CLR4_4_16in6inkylve08v,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver.__CLR4_4_16dw6dwkylve08b.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,21,452,12,30,2,58,12,22,0,13
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream.__CLR4_4_17je7jekylve0ii.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher.__CLR4_4_17j07j0kylve0i8.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,32,0,0,0,7,0,3,0,3
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream.__CLR4_4_17je7jekylve0ii,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher.__CLR4_4_17j07j0kylve0i8,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher.__CLR4_4_17j47j4kylve0id.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher.__CLR4_4_17ku7kukylve0im,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,3,76,4,6,0,11,4,5,0,4
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher.__CLR4_4_17ku7kukylve0im.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,37,0,0,0,7,0,3,0,3
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher.__CLR4_4_17j47j4kylve0id,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CloseShieldReader,0,42,0,0,0,9,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,InfiniteCircularInputStream.__CLR4_4_14ox4oxkylvdztk.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ReaderInputStream.__CLR4_4_159x59xkylvdzxx,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,RandomAccessFileInputStream.__CLR4_4_151l51lkylvdzwj,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,0,22,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,UnsupportedOperationExceptions,3,51,0,0,0,10,1,4,1,4
Apache Commons IO,org.apache.commons.io.input,AutoCloseInputStream.__CLR4_4_1458458kylvdzoq.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CloseShieldReader.__CLR4_4_14ne4nekylvdzsp.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BrokenReader,15,83,0,0,2,22,1,8,1,8
Apache Commons IO,org.apache.commons.io.input,XmlStreamReaderException.__CLR4_4_165c65ckylve04x.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ClosedReader.__CLR4_4_14nm4nmkylvdzt1.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TaggedReader.__CLR4_4_15k95k9kylvdzzx.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,14,29,0,0,3,6,1,2,1,2
Apache Commons IO,org.apache.commons.io.input,BrokenReader.__CLR4_4_14c64c6kylvdzqh.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ClassLoaderObjectInputStream.__CLR4_4_14ms4mskylvdzse,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream.__CLR4_4_15t95t9kylve02v,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BufferedFileChannelInputStream.__CLR4_4_14cm4cmkylvdzqv,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream.__CLR4_4_14n84n8kylvdzsj.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BOMInputStream.__CLR4_4_145l45lkylvdzpc.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,SwappedDataInputStream.__CLR4_4_15iv5ivkylvdzzk.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,42,0,0,0,9,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream,34,405,32,58,3,45,33,19,1,6
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream,264,263,49,27,35,29,42,11,9,6
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream.__CLR4_4_14nk4nkkylvdzsv,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BufferedFileChannelInputStream,181,680,64,58,19,86,55,22,2,14
Apache Commons IO,org.apache.commons.io.input,DemuxInputStream.__CLR4_4_14ok4okkylvdztg.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader.__CLR4_4_15x55x5kylve04g,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,XmlStreamReaderException,0,127,0,0,0,25,0,8,0,8
Apache Commons IO,org.apache.commons.io.input,TailerListenerAdapter.__CLR4_4_15oz5ozkylve016,128,0,2,0,1,0,4,0,3,0
Apache Commons IO,org.apache.commons.io.input,CharacterSetFilterReader.__CLR4_4_14lr4lrkylvdzs4.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BrokenReader.__CLR4_4_14c64c6kylvdzqh,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader.__CLR4_4_14it4itkylvdzrm,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ProxyInputStream,76,261,4,6,13,57,4,15,0,14
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream,14,57,0,0,2,9,1,4,1,4
Apache Commons IO,org.apache.commons.io.input,CircularInputStream.__CLR4_4_14m24m2kylvdzs9,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,TimestampedObserver,0,105,0,0,0,20,0,8,0,8
Apache Commons IO,org.apache.commons.io.input,ClosedReader,0,28,0,0,0,7,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream,31,353,28,52,3,39,29,18,1,6
Apache Commons IO,org.apache.commons.io.input,DemuxInputStream.__CLR4_4_14ok4okkylvdztg,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ReaderInputStream.__CLR4_4_159x59xkylvdzxx.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,AbstractCharacterFilterReader.__CLR4_4_1448448kylvdzof.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CountingInputStream,9,239,12,18,0,32,12,11,0,8
Apache Commons IO,org.apache.commons.io.input,MarkShieldInputStream,0,43,0,0,0,11,0,5,0,5
Apache Commons IO,org.apache.commons.io.input,TeeReader.__CLR4_4_15q35q3kylve01s.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,SwappedDataInputStream.__CLR4_4_15iv5ivkylvdzzk,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,UnsupportedOperationExceptions.__CLR4_4_15t35t3kylve02f.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,AutoCloseInputStream,19,67,4,6,4,11,5,5,1,4
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader.__CLR4_4_14ln4lnkylvdzru,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,SwappedDataInputStream,22,287,11,11,1,54,9,19,0,17
Apache Commons IO,org.apache.commons.io.input,AutoCloseInputStream.__CLR4_4_1458458kylvdzoq,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,AbstractCharacterFilterReader.__CLR4_4_1448448kylvdzof,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,XmlStreamReaderException.__CLR4_4_165c65ckylve04x,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,TaggedReader,0,61,0,0,0,13,0,5,0,5
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.__CLR4_4_15c55c5kylvdzyr,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream.__CLR4_4_1491491kylvdzpu.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TailerListenerAdapter,36,6,0,0,12,1,6,2,6,2
Apache Commons IO,org.apache.commons.io.input,NullReader.__CLR4_4_14sm4smkylvdzul.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TeeReader.__CLR4_4_15q35q3kylve01s,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BoundedReader.__CLR4_4_14ar4arkylvdzq3,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,NullInputStream.__CLR4_4_14pl4plkylvdzu6.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,MarkShieldInputStream.__CLR4_4_14oz4ozkylvdztn,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CharSequenceInputStream,191,791,87,85,6,93,75,26,1,14
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader.__CLR4_4_15x55x5kylve04g.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BufferedFileChannelInputStream.__CLR4_4_14cm4cmkylvdzqv.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,SequenceReader.__CLR4_4_15hg5hgkylvdzz5,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.__CLR4_4_14p64p6kylvdzts.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TaggedReader.__CLR4_4_15k95k9kylvdzzx,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader,0,37,0,2,0,5,0,5,0,4
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader.__CLR4_4_14it4itkylvdzrm.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,RandomAccessFileInputStream.__CLR4_4_151l51lkylvdzwj.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream,39,680,52,82,0,69,52,27,0,12
Apache Commons IO,org.apache.commons.io.input,CharacterSetFilterReader.__CLR4_4_14lr4lrkylvdzs4,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,SequenceReader,24,398,34,50,0,42,34,15,0,7
Apache Commons IO,org.apache.commons.io.input,TailerListenerAdapter.__CLR4_4_15oz5ozkylve016.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader.__CLR4_4_14ln4lnkylvdzru.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,MarkShieldInputStream.__CLR4_4_14oz4ozkylvdztn.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.__CLR4_4_15c55c5kylvdzyr.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,InfiniteCircularInputStream.__CLR4_4_14ox4oxkylvdztk,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,Tailer.1__CLR4_4_1.AC1,0,7,0,0,0,1,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,Tailer.1__CLR4_4_1.AC0,0,7,0,0,0,1,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream.__CLR4_4_15rq5rqkylve029.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader,410,2604,208,312,27,213,193,92,4,21
Apache Commons IO,org.apache.commons.io.input,QueueInputStream,3,94,4,6,0,13,4,6,0,5
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream.__CLR4_4_15vk5vkkylve033.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ProxyReader.__CLR4_4_14zi4zikylvdzvt,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,TimestampedObserver.__CLR4_4_15re5rekylve01y.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ClosedReader.__CLR4_4_14nm4nmkylvdzt1,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BrokenInputStream.__CLR4_4_14bs4bskylvdzqa,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream.__CLR4_4_15vk5vkkylve033,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,QueueInputStream.__CLR4_4_151a51akylvdzw6.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BOMInputStream.__CLR4_4_145l45lkylvdzpc,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ReadAheadInputStream.__CLR4_4_1531531kylvdzxb.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TeeInputStream.__CLR4_4_15p55p5kylve01d,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ClassLoaderObjectInputStream.__CLR4_4_14ms4mskylvdzse.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BOMInputStream,57,1009,76,130,0,101,76,46,0,19
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream.__CLR4_4_14n84n8kylvdzsj,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,Tailer,246,960,74,85,31,127,72,29,7,14
Apache Commons IO,org.apache.commons.io.input,UnsupportedOperationExceptions.__CLR4_4_15t35t3kylve02f,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,NullInputStream,86,797,63,87,7,89,63,30,2,16
Apache Commons IO,org.apache.commons.io.input,SequenceReader.__CLR4_4_15hg5hgkylvdzz5.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,DemuxInputStream,32,74,7,3,4,12,6,4,1,4
Apache Commons IO,org.apache.commons.io.input,Tailer.new Tailer.1__CLR4_4_1.AC1() {...},0,10,0,0,0,1,0,1,0,1
Apache Commons IO,org.apache.commons.io.input,Tailer.new Tailer.1__CLR4_4_1.AC0() {...},0,10,0,0,0,1,0,1,0,1
Apache Commons IO,org.apache.commons.io.input,NullInputStream.__CLR4_4_14pl4plkylvdzu6,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,AbstractCharacterFilterReader,44,254,27,35,2,28,27,11,2,5
Apache Commons IO,org.apache.commons.io.input,ProxyInputStream.__CLR4_4_14y24y2kylvdzv8.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TimestampedObserver.__CLR4_4_15re5rekylve01y,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream.__CLR4_4_15rq5rqkylve029,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,Tailer.__CLR4_4_15kh5khkylve00q.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,156,697,75,89,6,65,65,22,0,5
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream.Observer,22,15,0,0,7,5,3,3,3,3
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream.__CLR4_4_14vc4vckylvdzuy.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,BoundedReader.__CLR4_4_14ar4arkylvdzq3.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TaggedInputStream.__CLR4_4_15k15k1kylvdzzr.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader,108,811,67,79,2,85,61,27,0,15
Apache Commons IO,org.apache.commons.io.input,Tailer.__CLR4_4_15kh5khkylve00q,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,QueueInputStream.__CLR4_4_151a51akylvdzw6,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,InfiniteCircularInputStream,0,16,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader,85,746,56,96,6,73,59,29,3,9
Apache Commons IO,org.apache.commons.io.input,CloseShieldReader.__CLR4_4_14ne4nekylvdzsp,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BoundedReader,15,288,20,32,0,35,20,13,0,7
Apache Commons IO,org.apache.commons.io.input,TeeReader,15,325,20,30,0,43,20,13,0,8
Apache Commons IO,org.apache.commons.io.input,CharacterSetFilterReader,3,87,4,6,0,11,4,6,0,5
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.__CLR4_4_14p64p6kylvdzts,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,BrokenInputStream.__CLR4_4_14bs4bskylvdzqa.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ProxyReader,119,289,4,6,24,64,5,15,1,14
Apache Commons IO,org.apache.commons.io.input,BrokenInputStream,0,87,0,0,0,21,0,8,0,8
Apache Commons IO,org.apache.commons.io.input,TeeInputStream.__CLR4_4_15p55p5kylve01d.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TaggedInputStream,0,61,0,0,0,13,0,5,0,5
Apache Commons IO,org.apache.commons.io.input,RandomAccessFileInputStream,68,341,33,27,3,49,28,15,1,12
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream.__CLR4_4_14nk4nkkylvdzsv.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ReaderInputStream,94,580,48,66,6,66,48,22,2,11
Apache Commons IO,org.apache.commons.io.input,CircularInputStream.__CLR4_4_14m24m2kylvdzs9.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,NullReader.__CLR4_4_14sm4smkylvdzul,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CountingInputStream.__CLR4_4_14np4npkylvdzta.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CharSequenceInputStream.__CLR4_4_14fl4flkylvdzr8,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,TaggedInputStream.__CLR4_4_15k15k1kylvdzzr,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,NullReader,64,729,52,78,6,82,54,28,2,15
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream,67,591,32,48,7,95,32,27,2,17
Apache Commons IO,org.apache.commons.io.input,ProxyReader.__CLR4_4_14zi4zikylvdzvt.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CircularInputStream,12,225,16,26,0,23,16,9,0,4
Apache Commons IO,org.apache.commons.io.input,ClassLoaderObjectInputStream,23,107,4,6,4,15,4,5,0,4
Apache Commons IO,org.apache.commons.io.input,ReadAheadInputStream.__CLR4_4_1531531kylvdzxb,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,CountingInputStream.__CLR4_4_14np4npkylvdzta,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream.__CLR4_4_15t95t9kylve02v.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,ProxyInputStream.__CLR4_4_14y24y2kylvdzv8,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ReadAheadInputStream,445,1447,186,138,31,187,146,37,1,20
Apache Commons IO,org.apache.commons.io.input,CharSequenceInputStream.__CLR4_4_14fl4flkylvdzr8.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,TeeInputStream,12,236,16,24,0,31,16,11,0,7
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream.__CLR4_4_1491491kylvdzpu,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream.__CLR4_4_14vc4vckylvdzuy,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input.buffer,CircularByteBuffer,808,336,193,33,53,40,115,12,6,8
Apache Commons IO,org.apache.commons.io.input.buffer,CircularByteBuffer.__CLR4_4_167t67tkylve05o,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input.buffer,CircularByteBuffer.__CLR4_4_167t67tkylve05o.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input.buffer,CircularBufferInputStream.__CLR4_4_165v65vkylve057,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.input.buffer,CircularBufferInputStream.__CLR4_4_165v65vkylve057.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input.buffer,PeekableInputStream.__CLR4_4_16b76b7kylve062.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input.buffer,PeekableInputStream,161,0,20,0,17,0,15,0,5,0
Apache Commons IO,org.apache.commons.io.input.buffer,CircularBufferInputStream,132,431,59,51,7,50,50,14,1,8
Apache Commons IO,org.apache.commons.io.input.buffer,PeekableInputStream.__CLR4_4_16b76b7kylve062,128,0,2,0,1,0,4,0,3,0
Apache Commons IO,org.apache.commons.io.output,ByteArrayOutputStream.1__CLR4_4_1.AC0,0,4,0,0,0,1,0,2,0,2
Apache Commons IO,org.apache.commons.io.output,BrokenOutputStream.__CLR4_4_16ov6ovkylve0an.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.output,NullWriter.__CLR4_4_174o74okylve0eo,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.output,ProxyOutputStream.__CLR4_4_1770770kylve0fn,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.output,TeeWriter,0,27,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.output,NullOutputStream,0,33,0,0,0,10,0,5,0,5
Apache Commons IO,org.apache.commons.io.output,FilterCollectionWriter.__CLR4_4_16xd6xdkylve0ds.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.output,BrokenOutputStream.__CLR4_4_16ov6ovkylve0an,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.output,AppendableOutputStream.__CLR4_4_16nv6nvkylve0a4.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.output,TeeOutputStream,0,119,0,0,0,25,0,7,0,7
Apache Commons IO,org.apache.commons.io.output,NullAppendable.__CLR4_4_174b74bkylve0ee,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.output,ClosedWriter,0,62,0,0,0,10,0,5,0,5
Apache Commons IO,org.apache.commons.io.output,AppendableOutputStream.__CLR4_4_16nv6nvkylve0a4,93,35,1,1,0,1,3,1,2,1
Apache Commons IO,org.apache.commons.io.output,TeeOutputStream.__CLR4_4_17bf7bfkylve0gt.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.output,QueueOutputStream.__CLR4_4_179p79pkylve0g5.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.output,ClosedOutputStream.__CLR4_4_16ry6rykylve0bt.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.output,ChunkedWriter.__CLR4_4_16r36r3kylve0bf.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
